Symbol,Txn Type,Segment,Buy Date,Buy Qty,Buy Rate (₹),Buy Value (₹),Sell Date,Sell Qty,Sell Rate (₹),Sell Value (₹),P&L Amt (₹),Total days,ISIN,Turnover (₹)
BHEL,Trading,NSE-Cash,14-Jun-24,15,301.17,4517.55,14-Jun-24,15,305.4,4581,63.5,0,INE257A01026,63.5
BHEL,Trading,NSE-Cash,18-Jun-24,10,305,3050,18-Jun-24,10,310,3100,50,0,INE257A01026,50
BHEL,Trading,NSE-Cash,20-Jun-24,60,294.04,17642.4,20-Jun-24,60,295.5,17730,87.5,0,INE257A01026,87.5
BHEL,Trading,NSE-Cash,21-Jun-24,5,297,1485,21-Jun-24,5,298,1490,5,0,INE257A01026,5
BHEL,Trading,NSE-Cash,25-Jun-24,1,294,294,25-Jun-24,1,294,294,0,0,INE257A01026,-
BHEL,Trading,NSE-Cash,26-Jun-24,30,295,8850,26-Jun-24,30,296.5,8895,45,0,INE257A01026,45
BHEL,Trading,NSE-Cash,27-Jun-24,20,298,5960,27-Jun-24,20,299,5980,20,0,INE257A01026,20
BHEL,Trading,NSE-Cash,28-Jun-24,60,304,18240,28-Jun-24,60,306,18360,120,0,INE257A01026,120
BRITANNIA,Trading,NSE-Cash,27-May-24,7,5165.82,36160.74,27-May-24,7,5171.29,36199.03,38.25,0,INE216A01030,38.25
CANBK,Trading,NSE-Cash,07-May-24,16,589,9424,07-May-24,16,595,9520,96,0,INE476A01022,96
CANBK,Trading,NSE-Cash,08-May-24,8,563.25,4506,08-May-24,8,588,4704,198,0,INE476A01022,198
CANBK,Trading,NSE-Cash,13-May-24,7,546.14,3822.98,13-May-24,7,551.66,3861.62,38.6,0,INE476A01022,38.6
CANBK,Trading,NSE-Cash,14-May-24,10,562,5620,14-May-24,10,565,5650,30,0,INE476A01022,30
CANBK,Trading,NSE-Cash,22-May-24,15,115.33,1729.95,22-May-24,15,116.18,1742.7,12.75,0,INE476A01022,12.75
CANBK,Trading,NSE-Cash,23-May-24,40,117.65,4706,23-May-24,40,117.34,4693.6,-12.5,0,INE476A01022,12.5
CANBK,Trading,NSE-Cash,24-May-24,20,117.55,2351,24-May-24,20,118.25,2365,14,0,INE476A01022,14
CANBK,Trading,NSE-Cash,28-May-24,10,116.52,1165.2,28-May-24,10,118.2,1182,16.85,0,INE476A01022,16.85
CANBK,Trading,NSE-Cash,29-May-24,50,117,5850,29-May-24,50,117.24,5862,12,0,INE476A01022,12
CANBK,Trading,NSE-Cash,30-May-24,10,116,1160,30-May-24,10,117.1,1171,11,0,INE476A01022,11
CANBK,Trading,NSE-Cash,31-May-24,10,115,1150,31-May-24,10,117.3,1173,23,0,INE476A01022,23
CANBK,Trading,NSE-Cash,04-Jun-24,202,116.34,23500.68,04-Jun-24,202,110.5,22321,-1179.7,0,INE476A01022,1179.7
CANBK,Trading,NSE-Cash,05-Jun-24,150,110.5,16575,05-Jun-24,150,113.22,16983,407.5,0,INE476A01022,407.5
CANBK,Trading,NSE-Cash,10-Jun-24,10,121,1210,10-Jun-24,10,120.25,1202.5,-7.5,0,INE476A01022,7.5
CANBK,Trading,NSE-Cash,11-Jun-24,10,121.5,1215,11-Jun-24,10,122,1220,5,0,INE476A01022,5
CANBK,Trading,NSE-Cash,12-Jun-24,10,122.5,1225,12-Jun-24,10,122.38,1223.8,-1.25,0,INE476A01022,1.25
CANBK,Trading,NSE-Cash,13-Jun-24,21,122.5,2572.5,13-Jun-24,21,124.56,2615.76,43.29,0,INE476A01022,43.29
CANBK,Trading,NSE-Cash,14-Jun-24,30,120,3600,14-Jun-24,30,120.95,3628.5,28.5,0,INE476A01022,28.5
CANBK,Trading,NSE-Cash,21-Jun-24,10,120.5,1205,21-Jun-24,10,120.6,1206,1,0,INE476A01022,1
CANBK,Trading,NSE-Cash,25-Jun-24,100,118.5,11850,25-Jun-24,100,119.31,11931,81,0,INE476A01022,81
CANBK,Trading,NSE-Cash,28-Jun-24,150,120.23,18034.5,28-Jun-24,150,120.5,18075,40,0,INE476A01022,40
DIVISLAB,Trading,NSE-Cash,27-May-24,1,4291,4291,27-May-24,1,4299,4299,8,0,INE361B01024,8
DIVISLAB,Trading,NSE-Cash,28-May-24,1,4393.8,4393.8,28-May-24,1,4352,4352,-41.8,0,INE361B01024,41.8
DRREDDY   ,Trading,NSE-Cash,27-May-24,3,5843.98,17531.94,27-May-24,3,5846.33,17538.99,7.05,0,INE089A01031,7.05
DRREDDY   ,Trading,NSE-Cash,28-May-24,2,5963,11926,28-May-24,2,5981,11962,36,0,INE089A01031,36
DWARKESH,Short-Term,BSE-Cash,14-Mar-24,14,80.05,1120.7,10-Apr-24,14,105,1470,349.3,27,INE366A01041,-
DWARKESH,Short-Term,BSE-Cash,14-Mar-24,36,80.05,2881.8,10-May-24,36,69.25,2493,-388.8,57,INE366A01041,-
DWARKESH,Short-Term,BSE-Cash,19-Mar-24,64,80.2,5132.8,10-May-24,64,69.25,4432,-700.8,52,INE366A01041,-
DWARKESH,Trading,NSE-Cash,08-May-24,84,70,5880,08-May-24,84,70.25,5901,21,0,INE366A01041,21
DWARKESH,Trading,NSE-Cash,09-May-24,100,69.65,6965,09-May-24,100,69,6900,-65,0,INE366A01041,65
DWARKESH,Trading,NSE-Cash,13-May-24,150,68.27,10240.5,13-May-24,150,68.07,10210.5,-30,0,INE366A01041,30
DWARKESH,Trading,NSE-Cash,15-May-24,30,68,2040,15-May-24,30,68.48,2054.4,14.5,0,INE366A01041,14.5
DWARKESH,Trading,NSE-Cash,16-May-24,6,68,408,16-May-24,6,68.4,410.4,2.4,0,INE366A01041,2.4
DWARKESH,Trading,NSE-Cash,17-May-24,645,69.69,44950.05,17-May-24,645,68.8,44376,-572.75,0,INE366A01041,572.75
DWARKESH,Trading,NSE-Cash,21-May-24,30,70.8,2124,21-May-24,30,71.1,2133,9,0,INE366A01041,9
DWARKESH,Trading,NSE-Cash,22-May-24,60,70.43,4225.8,22-May-24,60,70.25,4215,-11,0,INE366A01041,11
DWARKESH,Trading,NSE-Cash,27-May-24,40,70.2,2808,27-May-24,40,70.3,2812,4,0,INE366A01041,4
DWARKESH,Trading,NSE-Cash,28-May-24,10,69.65,696.5,28-May-24,10,69.85,698.5,2,0,INE366A01041,2
DWARKESH,Trading,NSE-Cash,29-May-24,20,69.5,1390,29-May-24,20,69.8,1396,6,0,INE366A01041,6
DWARKESH,Trading,NSE-Cash,30-May-24,20,68.6,1372,30-May-24,20,68.15,1363,-9,0,INE366A01041,9
DWARKESH,Trading,NSE-Cash,31-May-24,25,68.2,1705,31-May-24,25,68.45,1711.25,6.25,0,INE366A01041,6.25
DWARKESH,Trading,NSE-Cash,07-Jun-24,200,71.15,14230,07-Jun-24,200,70.97,14194,-35,0,INE366A01041,35
DWARKESH,Trading,NSE-Cash,10-Jun-24,10,71.9,719,10-Jun-24,10,71.9,719,0,0,INE366A01041,-
DWARKESH,Trading,NSE-Cash,11-Jun-24,10,72.3,723,11-Jun-24,10,72.95,729.5,6.5,0,INE366A01041,6.5
DWARKESH,Trading,NSE-Cash,12-Jun-24,10,74.8,748,12-Jun-24,10,75.13,751.3,3.25,0,INE366A01041,3.25
DWARKESH,Trading,NSE-Cash,13-Jun-24,45,76.47,3441.15,13-Jun-24,45,76.71,3451.95,10.8,0,INE366A01041,10.8
DWARKESH,Trading,NSE-Cash,14-Jun-24,75,79.77,5982.75,14-Jun-24,75,80.53,6039.75,57.5,0,INE366A01041,57.5
DWARKESH,Trading,NSE-Cash,20-Jun-24,60,78.2,4692,20-Jun-24,60,79,4740,48,0,INE366A01041,48
